source,item_id,title,status,price_cents,price_usd,url,image_url,condition,shipping_payer,query,scraped_at,review_status,notes
mercari_apify,m78083922175,Vintage Computer T shirt XL MACINTOSH Apple IBM SYMANTECH Vaporwave C++ VTG 90s,on_sale,2486,24.86,https://www.mercari.com/us/item/m78083922175/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530508+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m86615297446,"Apple  Performa 6360  Power PC , Untested Power On/Keyboard & Mouse M3076 Manual",on_sale,8531,85.31,https://www.mercari.com/us/item/m86615297446/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530524+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m54439298103,Apple T Shirt Mens XS Black Hello Macintosh Computers Screen 1984 Park Tech,on_sale,2499,24.99,https://www.mercari.com/us/item/m54439298103/,,,,vintage Macintosh computer,2026-05-05T03:53:06.530539+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m36190090907,iPod Classic 6th gen 80gb Silver  #1607,on_sale,14900,149.00,https://www.mercari.com/us/item/m36190090907/,,,,iPod classic,2026-05-05T03:53:06.530555+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m59270604431,Apple iPod Classic 160gb 7th Gen Model | NEW Battery.,on_sale,15999,159.99,https://www.mercari.com/us/item/m59270604431/,,,,iPod classic,2026-05-05T03:53:06.530570+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m97328856008,iPod classic 2nd generation blue,on_sale,2375,23.75,https://www.mercari.com/us/item/m97328856008/,,,,iPod classic,2026-05-05T03:53:06.530586+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m24623565152,iPod Nano 3rd Gen 4gb Silver w/ charger,on_sale,5415,54.15,https://www.mercari.com/us/item/m24623565152/,,,,iPod classic,2026-05-05T03:53:06.530601+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m66882052248,iPod Nano 3rd Generation 4GB,on_sale,4061,40.61,https://www.mercari.com/us/item/m66882052248/,,,,iPod classic,2026-05-05T03:53:06.530616+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m47205997334,Ipod 30gb classic.  As is,on_sale,8455,84.55,https://www.mercari.com/us/item/m47205997334/,,,,iPod classic,2026-05-05T03:53:06.530635+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m90762705313,Apple iPod classic 5th Generation (60 GB),on_sale,17995,179.95,https://www.mercari.com/us/item/m90762705313/,,,,iPod classic,2026-05-05T03:53:06.530650+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m74479180084,Apple iPod Classic Video 5.5 DAC 128gb,on_sale,32500,325.00,https://www.mercari.com/us/item/m74479180084/,,,,iPod classic,2026-05-05T03:53:06.530665+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
